src_ip,dst_ip
10.12.45.61,10.12.1.2
10.12.44.180,10.12.1.37
10.12.44.71,10.12.1.2
10.12.44.41,10.12.1.37
10.12.60.30,10.12.60.50
10.12.60.30,10.12.60.83
10.12.28.60,10.12.1.2
10.12.28.60,10.12.1.37
10.12.45.130,10.12.1.37
10.12.45.130,10.12.1.2
10.12.45.130,10.12.1.100
10.12.88.69,10.12.1.37
10.12.41.207,10.12.1.37
10.12.52.60,10.12.1.37
10.12.41.201,10.12.1.37
10.12.44.66,10.12.1.225
10.12.44.66,10.12.1.37
10.12.88.215,10.12.1.2
10.12.88.215,10.12.1.37
10.12.90.49,10.12.1.37
10.12.90.49,10.12.1.2
10.12.45.87,10.12.1.100
10.12.45.87,10.12.1.100
10.12.45.87,10.12.1.37
10.12.80.87,10.12.91.52
10.12.80.87,10.12.91.52
10.12.80.87,10.12.80.117
10.12.80.87,10.12.80.117
10.12.80.87,10.12.81.26
10.12.80.87,10.12.91.49
10.12.80.87,10.12.91.49
10.12.80.87,10.12.80.125
10.12.80.87,10.12.80.125
10.12.80.87,10.12.91.71
10.12.80.87,10.12.80.112
10.12.80.87,10.12.80.112
10.12.80.87,10.12.91.60
10.12.80.87,10.12.91.60
10.12.80.87,10.12.80.120
10.12.80.87,10.12.91.70
10.12.80.87,10.12.91.70
10.12.80.87,10.12.91.48
10.12.80.87,10.12.80.109
10.12.80.87,10.12.80.109
10.12.80.87,10.12.91.75
10.12.80.87,10.12.91.75
10.12.80.87,10.12.80.119
10.12.80.87,10.12.80.119
10.12.80.87,10.12.91.69
10.12.80.87,10.12.91.69
10.12.80.87,10.12.91.43
10.12.80.87,10.12.91.43
10.12.80.87,10.12.81.21
10.12.80.87,10.12.81.29
10.12.80.87,10.12.91.76
10.12.80.87,10.12.91.67
10.12.80.87,10.12.80.116
10.12.80.87,10.12.80.116
10.12.80.87,10.12.91.61
10.12.80.87,10.12.91.80
10.12.80.87,10.12.91.80
10.12.80.87,10.12.91.62
10.12.80.87,10.12.80.123
10.12.80.87,10.12.80.123
10.12.80.87,10.12.81.23
10.12.80.87,10.12.81.23
10.12.80.87,10.12.80.126
10.12.80.87,10.12.80.126
10.12.80.87,10.12.91.51
10.12.80.87,10.12.81.20
10.12.80.87,10.12.91.65
10.12.80.87,10.12.91.65
10.12.80.87,10.12.80.143
10.12.80.87,10.12.80.143
10.12.80.87,10.12.91.53
10.12.80.87,10.12.91.53
10.12.80.87,10.12.80.135
10.12.80.87,10.12.80.135
10.12.80.87,10.12.91.59
10.12.80.87,10.12.91.54
10.12.80.87,10.12.91.64
10.12.80.87,10.12.91.64
10.12.80.87,10.12.81.24
10.12.80.87,10.12.80.113
10.12.80.87,10.12.80.113
10.12.80.87,10.12.81.25
10.12.80.87,10.12.80.134
10.12.80.87,10.12.80.134
10.12.80.87,10.12.81.34
10.12.80.87,10.12.91.78
10.12.80.87,10.12.91.78
10.12.80.87,10.12.80.92
10.12.80.87,10.12.80.92
10.12.80.87,10.12.80.118
10.12.80.87,10.12.80.118
10.12.80.87,10.12.91.81
10.12.80.87,10.12.91.81
10.12.80.87,10.12.80.110
10.12.80.87,10.12.80.110
10.12.80.87,10.12.80.108
10.12.80.87,10.12.80.93
10.12.80.87,10.12.80.93
10.12.80.87,10.12.81.31
10.12.80.87,10.12.81.31
10.12.80.87,10.12.80.111
10.12.80.87,10.12.80.111
10.12.80.87,10.12.91.42
10.12.80.87,10.12.91.42
10.12.80.87,10.12.91.56
10.12.80.87,10.12.80.128
10.12.80.87,10.12.80.128
10.12.80.87,10.12.91.46
10.12.80.87,10.12.91.46
10.12.80.87,10.12.81.22
10.12.80.87,10.12.81.22
10.12.80.87,10.12.91.68
10.12.80.87,10.12.91.68
10.12.80.87,10.12.81.32
10.12.80.87,10.12.81.32
10.12.80.87,10.12.91.73
10.12.80.87,10.12.80.124
10.12.80.87,10.12.81.37
10.12.80.87,10.12.81.37
10.12.80.87,10.12.80.129
10.12.80.87,10.12.80.129
10.12.80.87,10.12.80.141
10.12.80.87,10.12.91.44
10.12.80.87,10.12.91.44
10.12.80.87,10.12.91.50
10.12.80.87,10.12.91.50
10.12.80.87,10.12.81.28
10.12.80.87,10.12.81.28
10.12.80.87,10.12.80.131
10.12.80.87,10.12.80.131
10.12.80.87,10.12.91.63
10.12.80.87,10.12.91.63
10.12.80.87,10.12.91.74
10.12.80.87,10.12.81.33
10.12.80.87,10.12.81.33
10.12.80.87,10.12.81.36
10.12.80.87,10.12.81.36
10.12.80.87,10.12.81.21
10.12.80.87,10.12.81.21
10.12.80.87,10.12.80.127
10.12.80.87,10.12.80.127
10.12.80.87,10.12.80.121
10.12.80.87,10.12.91.47
10.12.80.87,10.12.91.55
10.12.80.87,10.12.91.55
10.12.80.87,10.12.81.35
10.12.80.87,10.12.80.142
10.12.80.87,10.12.80.142
10.12.80.87,10.12.81.19
10.12.80.87,10.12.81.19
10.12.80.87,10.12.80.122
10.12.80.87,10.12.80.122
10.12.80.87,10.12.91.72
10.12.80.87,10.12.91.72
10.12.80.87,10.12.81.27
10.12.80.87,10.12.81.17
10.12.80.87,10.12.80.115
10.12.80.87,10.12.80.115
10.12.80.87,10.12.81.30
10.12.80.87,10.12.81.30
10.12.80.87,10.12.80.130
10.12.80.87,10.12.80.130
10.12.80.87,10.12.91.77
