src_IP,des_IP,count_re
10.12.68.0/24,10.12.1.0/24,1533412
10.12.68.0/24,10.12.20.0/24,1792
10.12.68.0/24,10.12.32.0/24,783
10.12.68.0/24,10.12.44.0/24,13217
10.12.68.0/24,10.12.45.0/24,2051
10.12.68.0/24,10.12.68.0/24,19118
10.12.68.0/24,10.12.80.0/24,1162
10.12.68.0/24,10.12.92.0/24,331
10.12.70.0/24,10.12.1.0/24,6
10.12.71.0/24,10.12.1.0/24,6596
10.12.72.0/24,10.12.1.0/24,1189387
10.12.72.0/24,10.12.20.0/24,2970
10.12.72.0/24,10.12.24.0/24,10603
10.12.72.0/24,10.12.32.0/24,1353
10.12.72.0/24,10.12.44.0/24,32185
10.12.72.0/24,10.12.45.0/24,2428
10.12.72.0/24,10.12.72.0/24,7296
10.12.72.0/24,10.33.3.0/24,10
10.12.75.0/24,10.12.1.0/24,4
10.12.76.0/24,10.12.1.0/24,6
10.12.77.0/24,10.12.1.0/24,4048
10.12.77.0/24,10.12.85.0/24,4
10.12.8.0/24,10.12.1.0/24,2517689
10.12.8.0/24,10.12.20.0/24,1044
10.12.8.0/24,10.12.24.0/24,48
10.12.8.0/24,10.12.8.0/24,105823
10.12.8.0/24,10.12.80.0/24,6744
10.12.8.0/24,10.33.3.0/24,5
10.12.80.0/24,0.0.0.0/24,175
10.12.80.0/24,10.1.1.0/24,111153
10.12.80.0/24,10.1.100.0/24,4778
10.12.80.0/24,10.12.1.0/24,1362739
10.12.80.0/24,10.12.36.0/24,330
10.12.80.0/24,10.12.44.0/24,44463
10.12.80.0/24,10.12.45.0/24,57267
10.12.80.0/24,10.12.60.0/24,45
10.12.80.0/24,10.12.68.0/24,530
10.12.80.0/24,10.12.80.0/24,6547038
10.12.80.0/24,10.12.81.0/24,4258167
10.12.80.0/24,10.12.91.0/24,7394396
10.12.80.0/24,10.12.92.0/24,13897
10.12.80.0/24,10.33.3.0/24,2117
10.12.80.0/24,101.226.211.0/24,9
10.12.80.0/24,101.227.169.0/24,24
10.12.80.0/24,112.90.142.0/24,3
10.12.80.0/24,113.105.88.0/24,17764
10.12.80.0/24,113.108.1.0/24,6
10.12.80.0/24,113.96.202.0/24,21
10.12.80.0/24,113.96.209.0/24,18
10.12.80.0/24,121.14.85.0/24,76
10.12.80.0/24,121.46.26.0/24,17622
10.12.80.0/24,121.51.140.0/24,15
10.12.80.0/24,121.51.8.0/24,15
10.12.80.0/24,123.150.208.0/24,9
10.12.80.0/24,123.151.43.0/24,6
10.12.80.0/24,14.215.158.0/24,12
10.12.80.0/24,140.207.54.0/24,18
10.12.80.0/24,157.255.13.0/24,6
10.12.80.0/24,163.177.81.0/24,24
10.12.80.0/24,172.24.100.0/24,12950
10.12.80.0/24,182.254.21.0/24,6
10.12.80.0/24,182.254.42.0/24,24
10.12.80.0/24,182.254.99.0/24,6
10.12.80.0/24,183.3.224.0/24,18
10.12.80.0/24,183.3.234.0/24,12
10.12.80.0/24,183.60.62.0/24,12
10.12.80.0/24,192.168.1.0/24,1678
10.12.80.0/24,203.205.129.0/24,6
10.12.80.0/24,222.126.229.0/24,7526
10.12.80.0/24,58.250.11.0/24,12
